A-bomb,Атомная бОмба,ˈeɪbɔm
dry-clean,подвергАть химИческой чИстке,ˈdraɪˈklɪ:n
dry-cleaners,химИческая чИстка,ˈdraɪˈklɪ:nəz
dry-fist,скрЯга,ˈdraɪfɪst
dry-fly,искУсственная мУшка,ˈdraɪflaɪ
dry-rot,сухАя гниль,ˈdraɪˈrɔt
dry-rot,морАльное разложЕние,ˈdraɪˈrɔt
dry-salter,торгОвец москатЕльными товАрами,ˈdraɪˈsɔ:ltə
dry-salter,торгОвец сушЁными продУктами,ˈdraɪˈsɔ:ltə
dry-saltery,торгОвля москатЕльными товАрами,ˈdraɪˈsɔ:ltərɪ
dryad,дриАда,ˈdraɪəd
dryer,сушИлка,ˈdraɪə
dryer,сушИльный аппарАт,ˈdraɪə
dryish,суховАтый,ˈdraɪɪʃ
dualism,дуалИзм,ˈdju:əlɪzm
duality,двОйственность,dju:ˈælɪtɪ
dualize,раздвАивать,ˈdju:əlaɪz
dub,обрубАть,dʌb
dub,обтЁсывать,dʌb
dub,ровнЯть,dʌb
dub,посвящАть в рЫцари,dʌb
dub,давАть тИтул,dʌb
dubbin,жир для смАзывания кОжи,ˈdʌbɪn
dubiety,сомнЕние,dju:ˈbaɪətɪ
dubiety,что,dju:ˈbaɪətɪ
dubious,сомнИтельный,ˈdju:bjəs
dubious,сомневАющийся,ˈdju:bjəs
ducal,гЕрцогский,ˈdju:kəl
ducat,дукАт,ˈdʌkət
duchess,герцогИня,ˈdʌtʃɪs
duchy,гЕрцогство,ˈdʌtʃɪ
duck,Утка,dʌk
duck,утИное мЯсо,dʌk
duck,нырЯние,dʌk
duck,бЫстрое наклонЕние головЫ,dʌk
duck,нырЯть,dʌk
duck,увЁртываться,dʌk
duck,бЫстро наклонЯть гОлову,dʌk
duck,грУбое полотнО,dʌk
duck&apos;s-egg,счЁт,ˈdʌkseg
duck&apos;s-egg,тЁмный сЕро,ˈdʌkseg
duck-boards,дощАтый настИл,ˈdʌkbɔ:dz
duck-hawk,лунь болОтный,ˈdʌkhɔ:k
duck-legged,коротконОгий,ˈdʌklegd
duck-out,дезертИрство,ˈdʌkaut
duck-out,дезертИр,ˈdʌkaut
duckbill,утконОс,ˈdʌkbɪl
duckling,утЁнок,ˈdʌklɪŋ
duckweed,рЯска,ˈdʌkwɪ:d
duct,трубопровОд,dʌkt
ductile,эластИчный,ˈdʌktaɪl
ductile,кОвкий,ˈdʌktaɪl
ductile,подАтливый,ˈdʌktaɪl
ductility,эластИчность,dʌkˈtɪlɪtɪ
ductility,кОвкость,dʌkˈtɪlɪtɪ
ductility,подАтливость,dʌkˈtɪlɪtɪ
dudgeon,деревЯнная рукоЯтка кинжАла,ˈdʌdʒən
duellist,учАстник дуЭли,ˈdju:əlɪst
duenna,дуЭнья,dju:ˈenə
duet,дуЭт,dju:ˈet
duett,дуЭт,dju:ˈet
duff,фальсифицИровать,dʌf
duff,обмАнывать,dʌf
duffel,шерстянАя бАйка,ˈdʌfəl
duffel-bag,вещевОй мешОк,ˈdʌfəlbæg
duffer,фальсификАтор,ˈdʌfə
duffer,фальшИвая монЕта,ˈdʌfə
duffer,вЫработанная шАхта,ˈdʌfə
dug,сосОк,dʌg
dug,вЫмя,dʌg
dug-out,челнОк,ˈdʌgaut
duiker,дУкер,ˈdaɪkə
duke,гЕрцог,dju:k
dukedom,гЕрцогство,ˈdju:kdəm
dukedom,тИтул гЕрцога,ˈdju:kdəm
dulcet,слАдкий,ˈdʌlsɪt
dulcify,дЕлать мЯгким,ˈdʌlsɪfaɪ
dulcimer,цимбАлы,ˈdʌlsɪmə
dullard,тупИца,ˈdʌləd
dullish,туповАтый,ˈdʌlɪʃ
dullish,скучновАтый,ˈdʌlɪʃ
dulse,тЁмно,dʌls
dumb,немОй,dʌm
dumb,бессловЕсный,dʌm
dumb,беззвУчный,dʌm
dumb piano,немАя клавиатУра,ˈdʌmpɪˌænəu
dumb-waiter,вращАющийся стОлик,ˈdʌmˈweɪtə
dumbfound,ошарАшить,dʌmˈfaund
dumbness,немотА,ˈdʌmnɪs
dumdum,пУля,ˈdʌmdʌm
dump-car,опрокИдывающаяся телЕжка,ˈdʌmpka:
dump-car,вагонЕтка,ˈdʌmpka:
dumpish,грУстный,ˈdʌmpɪʃ
dumpling,клЁцка,ˈdʌmplɪŋ
dumpling,Яблоко,ˈdʌmplɪŋ
dun-bird,нырОк красноголОвый,ˈdʌnbə:d
dunce,болвАн,dʌns
dunderhead,глУпая башкА,ˈdʌndəhed
dune,дЮна,dju:n
dung,помЁт,dʌŋ
dung-beetle,навОзный жук,ˈdʌŋˌbɪ:tl
dung-fork,навОзные вИлы,ˈdʌŋfɔ:k
dungaree,грУбая бумАжная ткань,ˌdʌŋgəˈrɪ:
dungeon,подзЕмная тюрьмА,ˈdʌndʒən
dunghill,навОзная кУча,ˈdʌŋhɪl
dungy,навОзный,ˈdʌŋɪ
duniwassal,мЕлкий дворянИн,ˈdu:nɪˈwɔsəl
dunk,макАть,dʌŋk
dunk,замочИть,dʌŋk
dunlin,чернозОбик,ˈdʌnlɪn
dunnage,подстИлка под груз,ˈdʌnɪdʒ
duodecimo,формАт кнИги в двенАдцатую дОлю листА,ˌdju:əuˈdesɪməu
duodenary,двенадцатерИчный,ˌdju:əuˈdɪ:nərɪ
duodenitis,воспалЕние двенадцатипЕрстной кишкИ,ˌdju:əudɪ:ˈnaɪtɪs
duodenum,двенадцатипЕрстная кишкА,ˌdju:əuˈdɪ:nəm
dupeable,легкО поддаЮщийся обмАну,ˈdju:pəbl
dupery,надувАтельство,ˈdju:pərɪ
duplex,двухсторОнний,ˈdju:pleks
duplication,удвАивание,ˌdju:plɪˈkeɪʃən
duplication,снЯтие кОпий,ˌdju:plɪˈkeɪʃən
duplicator,копировАльный аппарАт,ˈdju:plɪkeɪtə
duplicity,двулИчность,dju:ˈplɪsɪtɪ
durability,прОчность,ˌdjuərəˈbɪlɪtɪ
durability,длИтельность,ˌdjuərəˈbɪlɪtɪ
durable,прОчный,ˈdjuərəbl
durable,длИтельный,ˈdjuərəbl
duralumin,дюралюмИний,djuəˈræljumɪn
duramen,лес,djuəˈreɪmen
duration,продолжИтельность,djuəˈreɪʃən
durbar,торжЕственный приЁм,ˈdə:ba:
duress,лишЕние свобОды,djuəˈres
duresse,лишЕние свобОды,djuəˈres
durmast,дуб скАльный,ˈdə:ma:st
dusk,сУмеречный,dʌsk
dusk,смеркАться,dʌsk
duskiness,сУмрак,ˈdʌskɪnɪs
duskiness,смУглость,ˈdʌskɪnɪs
dusky,сУмеречный,ˈdʌskɪ
dusky,смУглый,ˈdʌskɪ
Dust Bowl,назвАние засушливых районов на западе США,ˈdʌstbəul
dust-cart,мУсорный фургОн,ˈdʌstka:t
dust-coat,пЫльник,ˈdʌstkəut
dust-colour,серовАто,ˈdʌstˌkʌlə
dust-cover,супероблОжка,ˈdʌstˌkʌvə
dust-hole,мУсорная Яма,ˈdʌsthəul
dust-proof,пыленепроницАемый,ˈdʌstpru:f
dust-shot,сАмая мЕлкая дробь,ˈdʌstʃɔt
dust-storm,пЫльная бУря,ˈdʌststɔ:m
dustbin,мУсорный Ящик,ˈdʌstbɪn
dustman,мУсорщик,ˈdʌstmən
dustpan,совОк для мУсора,ˈdʌstpæn
dusty,пЫльный,ˈdʌstɪ
dusty,мЕлкий,ˈdʌstɪ
Dutch metal,сплав мЕди с цИнком,ˈdʌtʃˈmetl
Dutch oven,жарОвня,ˈdʌtʃʌvn
Dutchman,нидерлАндец,ˈdʌtʃmən
Dutchman,голлАндское сУдно,ˈdʌtʃmən
Dutchwoman,нидерлАндка,ˈdʌtʃˌwumən
dutiable,подлежАщий обложЕнию,ˈdju:tjəbl
dutiful,испОлненный сознАния дОлга,ˈdju:tɪful
dutiful,покОрный,ˈdju:tɪful
duty,долг,ˈdju:tɪ
duty,служЕбные обЯзанности,ˈdju:tɪ
duty,пОшлина,ˈdju:tɪ
duty,почтЕние,ˈdju:tɪ
duty list,грАфик дежУрств,ˈdju:tɪlɪst
duty-bound,обЯзанный,ˈdju:tɪbaund
duty-paid,оплАченный пОшлиной,ˈdju:tɪpeɪd
duumvir,дуумвИр,dju:ˈʌmvə
duumvirate,дуумвирАт,dju:ˈʌmvɪrɪt
dwarfish,кАрликовый,ˈdwɔ:fɪʃ
dwarfish,недорАзвитый,ˈdwɔ:fɪʃ
dwell,жить,dwel
dwell,подрОбно останАвливаться,dwel
dwell,останАвливаться,dwel
dweller,жИтель,ˈdwelə
dweller,лОшадь,ˈdwelə
dwelling-house,жилОй дом,ˈdwelɪŋhaus
dwelling-place,местожИтельство,ˈdwelɪŋpleɪs
dwindle,уменьшАться,ˈdwɪndl
dwindle,терЯть значЕние,ˈdwɪndl
dyad,числО два,ˈdaɪæd
dyadic,состоЯщий из двух элемЕнтов,daɪˈædɪk
dye-house,красИльня,ˈdaɪhaus
dye-stuff,крАсящее веществО,ˈdaɪstʌf
dye-wood,красИльное дЕрево,ˈdaɪwud
dye-works,красИльная фАбрика,ˈdaɪwə:ks
dyed-in-the wool,вЫкрашенный в прЯже,ˈdaɪdɪnðəˈwul
dyed-in-the wool,отъЯвленный,ˈdaɪdɪnðəˈwul
dyed-in-the wool,вынОсливый,ˈdaɪdɪnðəˈwul
dyer,красИльщик,ˈdaɪə
dyer&apos;s broom,красИльный дрок,ˈdaɪəzbru:m
dyer&apos;s weed,вАйда красИльная,ˈdaɪəzwɪ:d
dynamic,динамИческий,daɪˈnæmɪk
dynamic,актИвный,daɪˈnæmɪk
dynamical,динамИческий,daɪˈnæmɪkəl
dynamics,двИжущие сИлы,daɪˈnæmɪks
dynamism,динамИзм,ˈdaɪnəmɪzm
dynamiter,террорИст,ˈdaɪnəmaɪtə
dynamitic,динамИтный,ˌdaɪnəˈmɪtɪk
dynamo,динАмо,ˈdaɪnəməu
dynamometer,динамОметр,ˌdaɪnəˈmɔmɪtə
dynast,представИтель динАстии,ˈdɪnəst
dynastic,династИческий,dɪˈnæstɪk
dynasty,динАстия,ˈdɪnəstɪ
dyne,дИна,daɪn
dysenteric,дизентерИйный,ˌdɪsnˈterɪk
dysentery,дизентерИя,ˈdɪsntrɪ
dyslogistic,неодобрИтельный,ˌdɪsləˈdʒɪstɪk
dyspepsia,расстрОйство пищеварЕния,dɪsˈpepsɪə
dyspnoea,одЫшка,dɪsˈpni:ə
dysprosium,диспрОзий,dɪsˈprəuʃɪəm
dystrophy,дистрофИя,ˈdɪstrəfɪ
e&apos;carte,экартЕ,eɪˈkɑ:teɪ
e&apos;clair,эклЕр,ˈeɪklɛə
eager,пОлный стрАстного желАния,ˈi:gə
eager,энергИчный,ˈi:gə
eager,энтузиАст,ˈi:gə
eager,крАйне прилЕжный,ˈi:gə
eager,Острый,ˈi:gə
eagerness,пыл,ˈi:gənɪs
eagle,орЁл,ˈi:gl
eagle-eyed,с проницАтельным взглЯдом,ˈi:glˈaɪd
eagle-owl,фИлин,ˈi:glˈaul
eaglet,орлЁнок,ˈi:glɪt
eagre,прилИвный вал в Устье рекИ,ˈeɪgə
ear,Ухо,ɪə
ear,слух,ɪə
ear,ушкО,ɪə
ear,кОлос,ɪə
ear,почАток,ɪə
ear-ache,боль в Ухе,ˈɪəreɪk
ear-drops,кАпли для Уха,ˈɪədrɔps
ear-drum,барабАнная перепОнка,ˈɪədrʌm
ear-flaps,наУшники,ˈɪəflæps
ear-lap,мОчка,ˈɪəlæp
ear-lock,прядь волОс,ˈɪəlɔk
ear-muff,наУшник,ˈɪəmʌf
ear-ring,серьгА,ˈɪərɪŋ
ear-splitting,оглушИтельный,ˈɪəˈsplɪtɪŋ
ear-wax,ушнАя сЕра,ˈɪəwæks
earldom,тИтул грАфа,ˈə:ldəm
earless,безУхий,ˈɪəlɪs
earless,лишЁнный музыкАльного слУха,ˈɪəlɪs
earless,не имЕющий рУчки,ˈɪəlɪs
earn,зарабАтывать,ə:n
earn,заслУживать,ə:n
earnings,зарабОтанные дЕньги,ˈə:nɪŋz
earshot,расстоЯние,ˈɪəʃɔt
earth-born,смЕртный,ˈə:θbɔ:n
earth-bound,земнОй,ˈə:θbaund
earth-bound,напрАвленный к землЕ,ˈə:θbaund
earth-flax,асбЕст,ˈə:θflæks
earth-nut,землянОй орЕх,ˈə:θnʌt
earth-shaking,имЕющий осОбо вАжное значЕние,ˈə:θˌʃeɪkɪŋ
earth-shine,пЕпельный свет,ˈə:θʃaɪn
earth-worm,землянОй,ˈə:θwə:m
earth-worm,нИзкая душА,ˈə:θwə:m
earthen,землянОй,ˈə:θən
earthen,земнОй,ˈə:θən
earthenware,глИняная посУда,ˈə:θənwɛə
earthenware,глИна,ˈə:θənwɛə
earthing,заземлЕние,ˈə:θɪŋ
earthly,ни малЕйшей надЕжды,ˈə:θlɪ
earthly-minded,чрезмЕрно практИчный,ˈə:θlɪˈmaɪndɪd
earthquake,землетрясЕние,ˈə:θkweɪk
earthquake,потрясЕние,ˈə:θkweɪk
earthwork,землянОе укреплЕние,ˈə:θwə:k
earthy,землянОй,ˈə:θɪ
earthy,земнОй,ˈə:θɪ
earthy,грУбый,ˈə:θɪ
earwig,уховЁртка,ˈɪəwɪg
easeful,успокоИтельный,ˈi:zful
easeful,спокОйный,ˈi:zful
easeful,незАнятый,ˈi:zful
easement,удОбство,ˈi:zmənt
easement,пристрОйки,ˈi:zmənt
easiness,лЁгкость,ˈi:zɪnɪs
easiness,непринуждЁнность,ˈi:zɪnɪs
East End,Ист,ˈi:stˈend
East India Company,Ост,ˈi:stˌɪndjəˈkʌmpənɪ
East Side,Ист,ˈi:stˈsaɪd
east-bound,двИжущийся на востОк,ˈi:stbaund
Easter,пАсха,ˈi:stə
easterner,жИтель востОчной чАсти США,ˈi:stənə
easternmost,сАмый востОчный,ˈi:stənməust
Eastertide,пасхАльная недЕля,ˈi:stəˈtaɪd
Eastertide,перИод от пАсхи до прАздника вознесЕния,ˈi:stəˈtaɪd
Eastertide,трОицы,ˈi:stəˈtaɪd
easting,курс на ост,ˈi:stɪŋ
easy chair,мЯгкое крЕсло,ˈi:zɪˈtʃɛə
easy rider,проходИмец,ˈi:zɪˌraɪdə
easy-going,добродУшно,ˈi:zɪˌgəuɪŋ
easy-going,лЁгкий,ˈi:zɪˌgəuɪŋ
eat,есть,i:t
eat,имЕть хорОший аппетИт,i:t
eat,имЕть приЯтный вкус,i:t
eat,разъедАть,i:t
eat,съедАть,i:t
eat,питАться дОма,i:t
eat,столовАться по мЕсту рабОты,i:t
eat,пожирАть,i:t
eat,смирИться,i:t
eat,унижАться,i:t
eatable,съестнОе,ˈi:təbl
eater,едОк,ˈi:tə
eater,столОвые фрУкты,ˈi:tə
eating-house,дешЁвый ресторАн,ˈi:tɪŋhaus
eats,едА,i:ts
eau-de-Cologne,одеколОн,ˈəudəkəˈləun
eau-de-vie,коньЯк,ˈəudəˈvi:
eavesdrop,подслУшивать,ˈi:vzdrɔp
eavesdropper,подслУшивающий,ˈi:vzˌdrɔpə
ebb-tide,отлИв,ˈebˈtaɪd
ebon,эбЕновый,ˈebən
ebon,чЁрный,ˈebən
ebonite,эбонИт,ˈebənaɪt
ebullience,кипЕние,ɪˈbʌljəns
ebullience,возбуждЕние,ɪˈbʌljəns
ebulliency,кипЕние,ɪˈbʌljənsɪ
ebulliency,возбуждЕние,ɪˈbʌljənsɪ
ebullient,кипЯщий,ɪˈbʌljənt
ebullient,кипУчий,ɪˈbʌljənt
ebullition,кипЕние,ˌebəˈlɪʃən
ebullition,рАдостное возбуждЕние,ˌebəˈlɪʃən
eccentricity,эксцентрИчность,ˌeksenˈtrɪsɪtɪ
ecclesiastical,духОвный,ɪˌkli:zɪˈæstɪkəl
echo-image,стереоскопИческий снИмок,ˈekəuˌɪmɪdʒ
echoic,звукоподражАтельный,eˈkəuɪk
eclampsia,эклампсИя,ɪˈklæmpsɪə
eclat,блеск,ˈeɪklɑ:
eclat,успЕх,ˈeɪklɑ:
eclecticism,эклектИзм,ekˈlektɪsɪzm
eclogue,эклОга,ˈeklɔg
ecological,экологИческий,ˌekəˈlɔdʒɪkəl
ecology,эколОгия,ɪˈkɔlədʒɪ
economic,экономИческий,ˌi:kəˈnɔmɪk
economic,рентАбельный,ˌi:kəˈnɔmɪk
economic,практИческий,ˌi:kəˈnɔmɪk
economical,эконОмный,ˌi:kəˈnɔmɪkəl
economical,экономИческий,ˌi:kəˈnɔmɪkəl
economical,материАльный,ˌi:kəˈnɔmɪkəl
economics,эконОмика,ˌi:kəˈnɔmɪks
economics,политИческая эконОмия,ˌi:kəˈnɔmɪks
economist,экономИст,i:ˈkɔnəmɪst
economist,бережлИвый человЕк,i:ˈkɔnəmɪst
economize,эконОмить,i:ˈkɔnəmaɪz
economizer,экономАйзер,i:ˈkɔnəmaɪzə
economy,хозЯйство,i:ˈkɔnəmɪ
economy,эконОмия,i:ˈkɔnəmɪ
economy,структУра,i:ˈkɔnəmɪ
ecstasize,приводИть в востОрг,ˈekstəsaɪz
ecstasize,приходИть в востОрг,ˈekstəsaɪz
ecstasy,экстАз,ˈekstəsɪ
ecstatic,исступлЁнный,eksˈtætɪk
ectoplasm,эктоплАзма,ˈektəuplæzm
eczema,экзЕма,ˈeksɪmə
edacious,прожОрливый,ɪˈdeɪʃəs
edacious,жАдный,ɪˈdeɪʃəs
edacity,прожОрливость,ɪˈdæsɪtɪ
edacity,жАдность,ɪˈdæsɪtɪ
Edam,эдАмский сыр,ˈi:dæm
edaphology,почвовЕдение,ˌedəˈfɔlədʒɪ
eddish,отАва,ˈedɪʃ
Eden,ЭдЕм,ˈi:dn
edge stone,жЁрнов,ˈedʒstəun
edge-tool,Острый,ˈedʒtu:l
edgy,Острый,ˈedʒɪ
edgy,раздражЁнный,ˈedʒɪ
edibility,съедОбность,ˌedɪˈbɪlɪtɪ
edict,эдИкт,ˈi:dɪkt
edification,назидАние,ˌedɪfɪˈkeɪʃən
edifice,здАние,eˈdɪfɪs
edifice,систЕма взглЯдов,eˈdɪfɪs
edify,поучАть,ˈedɪfaɪ
edit,редактИровать,ˈedɪt
edit,осуществлЯть руковОдство издАнием,ˈedɪt
edit,монтИровать,ˈedɪt
edition,издАние,ɪˈdɪʃən
edition,вЫпуск,ɪˈdɪʃən
edition,кОпия,ɪˈdɪʃən
editor,редАктор,ˈedɪtə
editor,Автор передовИц,ˈedɪtə
editorialist,пИшущий передовЫе,ˌedɪˈtɔ:rɪəlɪst
editorialist,редакциОнные статьИ,ˌedɪˈtɔ:rɪəlɪst
educate,воспИтывать,ˈedju:keɪt
educate,тренировАть,ˈedju:keɪt
education,образовАние,ˌedju:ˈkeɪʃən
education,воспитАние,ˌedju:ˈkeɪʃən
education,культУра,ˌedju:ˈkeɪʃən
education,дрессирОвка,ˌedju:ˈkeɪʃən
educational,образовАтельный,ˌedju:ˈkeɪʃənl
educationalist,педагОг,ˌedju:ˈkeɪʃnəlɪst
educative,воспИтывающий,ˈedju:kətɪv
educator,воспитАтель,ˈedju:keɪtə
educe,выявлЯть,i:ˈdju:s
educe,выводИть,i:ˈdju:s
eduction,выявлЕние,i:ˈdʌkʃən
eduction,вЫвод,i:ˈdʌkʃən
eduction,вЫпуск,i:ˈdʌkʃən
eduction,извлечЕние,i:ˈdʌkʃən
Edwardian,врЕмени,ədˈwɔ:djən
eel,Угорь,i:l
eel-buck,вЕрша для лОвли угрЕй,ˈi:lbʌk
eel-pout,бельдЮга,ˈi:lpaut
eel-spear,трезУбец для лОвли угрЕй,ˈi:lspɪə
eerie,жУткий,ˈɪərɪ
eery,жУткий,ˈɪərɪ
efface,стирАть,ɪˈfeɪs
effectless,безрезультАтный,ɪˈfektlɪs
effectual,достигАющий цЕли,ɪˈfektjuəl
effectuate,совершАть,ɪˈfektjueɪt
effectuation,выполнЕние,ɪˌfektjuˈeɪʃən
effeminacy,изнЕженность,ɪˈfemɪnəsɪ
efferent,выносЯщий,ˈeferənt
effervesce,выделЯться в вИде пузырькОв гАза,ˌefəˈves
effervesce,быть в возбуждЕнии,ˌefəˈves
effervescence,выделЕние пузырькОв гАза,ˌefəˈvesns
effervescence,возбуждЕние,ˌefəˈvesns
effervescency,выделЕние пузырькОв гАза,ˌefəˈvesnsɪ
effervescency,возбуждЕние,ˌefəˈvesnsɪ
effervescent,шипУчий,ˌefəˈvesnt
effervescent,кипУчий,ˌefəˈvesnt
effervescent,возбуждЁнный,ˌefəˈvesnt
effete,истощЁнный,eˈfi:t
effete,бесплОдный,eˈfi:t
effete,изнЕженный,eˈfi:t
effete,упАдочный,eˈfi:t
efficacious,дЕйственный,ˌefɪˈkeɪʃəs
efficacy,эффектИвность,ˈefɪkəsɪ
Efficiency,дЕйственность,ɪˈfɪʃənsɪ
Efficiency,продуктИвность,ɪˈfɪʃənsɪ
Efficiency,умЕние,ɪˈfɪʃənsɪ
Efficiency,рентАбельность,ɪˈfɪʃənsɪ
efflorescence,начАло цветЕния,ˌeflɔ:ˈresns
effluence,истечЕние,ˈefluəns
effluvium,вредное,eˈflu:vjəm
effluvium,зловонное,eˈflu:vjəm
efflux,утЕчка,ˈeflʌks
efflux,истечЕние,ˈeflʌks
efflux,эманАция,ˈeflʌks
effort,усИлие,ˈefət
effortless,не дЕлающий усИлий,ˈefətlɪs
effortless,не трЕбующий усИлий,ˈefətlɪs
effulgence,лучезАрность,eˈfʌldʒəns
effulgent,лучезАрный,eˈfʌldʒənt
effusion,излиЯние,ɪˈfju:ʒən
effusion,кровоизлиЯние,ɪˈfju:ʒən
effusion,потЕря крОви,ɪˈfju:ʒən
effusion,извержЕние,ɪˈfju:ʒən
effusive,экспансИвный,ɪˈfju:sɪv
egalitarian,побОрник равнопрАвия,ɪˌgælɪˈtɛərɪən
egg,яйцО,eg
egg,непутЁвый,eg
egg,молодЕц,eg
egg,смАзывать яйцОм,eg
egg,забрАсывать тУхлыми Яйцами,eg
egg-beater,взбивАлка для яИц,ˈegˌbi:tə
egg-cup,рЮмка для яйцА,ˈegkʌp
egg-dance,тАнец,ˈegdɑ:ns
egg-dance,слОжная,ˈegdɑ:ns
egg-nog,яИчный желтОк,ˈegnɔg
egg-plant,баклажАн,ˈegplɑ:nt
egg-shaped,яйцевИдный,ˈegʃeɪpt
egg-timer,трЁхминУтные песОчные часЫ,ˈegˌtaɪmə
egg-white,яИчный белОк,ˈegwaɪt
egghead,интеллигЕнт,ˈeghed
eglantine,рОза эглантЕрия,ˈegləntaɪn
egocentric,эгоцентрИческий,ˌegəuˈsentrɪk
egoism,эгоИзм,ˈegəuɪzm
egoist,эгоИст,ˈegəuɪst
egoistic,эгоистИчный,ˌegəuˈɪstɪk
egoistical,эгоистИчный,ˌegəuˈɪstɪkəl
egotism,эготИзм,ˈegəutɪzm
egotist,эготИст,ˈegəutɪst
egress,вЫход,ˈi:gres
egress,прАво вЫхода,ˈi:gres
egression,вЫход,i:ˈgreʃən
egret,бЕлая цАпля,ˈi:gret
egret,эгрЕт,ˈi:gret
Egyptology,египтолОгия,ˌi:dʒɪpˈtɔlədʒɪ
eider-down,гагАчий пух,ˈaɪdədaun
eider-down,пухОвое стЁганое одеЯло,ˈaɪdədaun
eidolon,Образ,aɪˈdəulɔn
eidolon,привидЕние,aɪˈdəulɔn
eirenicon,миролюбИвое предложЕние,aɪˈri:nɪkɔn
eisteddfod,ежегОдный фестивАль бАрдов,aɪsˈteðvɔd
ejaculate,восклицАть,ɪˈdʒækjuleɪt
ejaculate,извергАть,ɪˈdʒækjuleɪt
ejaculation,восклицАние,ɪˌdʒækjuˈleɪʃən
ejaculation,извержЕние,ɪˌdʒækjuˈleɪʃən
eject,изгонЯть,i:ˈdʒekt
eject,выселЯть,i:ˈdʒekt
ejection,изгнАние,i:ˈdʒekʃən
ejection,выселЕние,i:ˈdʒekʃən
ejection,вЫброшенная,i:ˈdʒekʃən
ejectment,выселЕние,i:ˈdʒektmənt
ejectment,судЕбное дЕло о возвращЕнии земЕль,i:ˈdʒektmənt
el,назвАние бУквы,el
el Dorado,ЭльдорАдо,ˌeldəˈrɑ:dəu
elaboration,разрабОтка,ɪˌlæbəˈreɪʃən
elaboration,слОжность,ɪˌlæbəˈreɪʃən
elan,стремИтельность,eɪˈlɑ:ŋ
eland,антилОпа кАнна,ˈi:lənd
elapse,проходИть,ɪˈlæps
elastic-sides,штиблЕты с резИнкой,ɪˈlæstɪksaɪdz
elate,поднимАть настроЕние,ɪˈleɪt
elation,припОднятое настроЕние,ɪˈleɪʃən
elbow-chair,крЕсло с подлокОтниками,ˈelbəuˈtʃɛə
elbow-grease,усИленная полирОвка,ˈelbəugri:s
elbow-grease,тяжЁлая,ˈelbəugri:s
elbow-rest,подлокОтник,ˈelbəurest
elbow-room,простОр,ˈelbəurum
eld,старинА,eld
eld,стАрость,eld
elder,бузинА,ˈeldə
elderly,пожилОй,ˈeldəlɪ
eldest,сАмый стАрший,ˈeldɪst
elecampane,девясИл,ˌelɪkæmˈpeɪn
election,избрАние,ɪˈlekʃən
electioneer,проводИть предвЫборную кампАнию,ɪˌlekʃəˈnɪə
electioneering,предвЫборная кампАния,ɪˌlekʃəˈnɪərɪŋ
elective,вЫборный,ɪˈlektɪv
elective,избирАтельный,ɪˈlektɪv
elective,имЕющий избирАтельные правА,ɪˈlektɪv
elector,избирАтель,ɪˈlektə
electoral,избирАтельный,ɪˈlektərəl
electorate,контингЕнт избирАтелей,ɪˈlektərɪt
electorate,избирАтельный Округ,ɪˈlektərɪt
electric,электрИческий,ɪˈlektrɪk
electric,удивИтельный,ɪˈlektrɪk
electric blue,электрИк,ɪˈlektrɪkˈblu:
electric chair,электрИческий стул,ɪˈlektrɪkˈtʃɛə
electrical,электрИческий,ɪˈlektrɪkəl
electrician,электротЕхник,ɪlekˈtrɪʃən
electrician,электромонтЁр,ɪlekˈtrɪʃən
electricity,электрИчество,ɪlekˈtrɪsɪtɪ
electrification,электрификАция,ɪˌlektrɪfɪˈkeɪʃən
electrification,электризАция,ɪˌlektrɪfɪˈkeɪʃən
electrify,электрифицИровать,ɪˈlektrɪfaɪ
electrify,электризовАть,ɪˈlektrɪfaɪ
electrify,возбуждАть,ɪˈlektrɪfaɪ
electrization,электризАция,ɪˌlektrɪˈzeɪʃən
electrocardiogram,электрокардиогрАмма,ɪˌlektrəuˌkɑ:dɪəˈgræm
electrochemistry,электрохИмия,ɪˌlektrəuˈkemɪstrɪ
electrocute,убивАть электрИческим тОком,ɪˈlektrəkju:t
electrocute,казнИть на электрИческом стУле,ɪˈlektrəkju:t
electrocution,казнь на электрИческом стУле,ɪˌlektrəˈkju:ʃən
electrode,электрОд,ɪˈlektrəud
electrodynamics,как,ɪˈlektrəudaɪˈnæmɪks
electrokinetics,как,ɪˈlektrəukaɪˈnetɪks
electrolier,лЮстра,ɪˌlektrəuˈlɪə
electrolyse,подвергАть электрОлизу,ɪˈlektrəulaɪz
electrolysis,электрОлиз,ɪlekˈtrɔlɪsɪs
electrolyte,электролИт,ɪˈlektrəulaɪt
electromagnet,электромагнИт,ɪˈlektrəuˈmægnɪt
electromagnetic,электромагнИтный,ɪˈlektrəumægˈnetɪk
electrometallurgy,электрометаллУргИя,ɪˈlektrəumeˈtælədʒɪ
electrometer,электрОметр,ɪlekˈtrɔmɪtə
electromotive,электродвИжущий,ɪˈlektrəuməutɪv
electromotor,электромотОр,ɪˈlektrəuˈməutə
electron,электрОн,ɪˈlektrɔn
electron-volt,электрОн,ɪˈlektrɔnˈvəult
electronegative,электроотрицАтельный,ɪˈlektrəuˈnegətɪv
electronic,электрОнный,ɪlekˈtrɔnɪk
electronics,как,ɪlekˈtrɔnɪks
electropathy,электролечЕние,ɪlekˈtrɔpəθɪ
electrophone,электрофОн,ɪˈlektrəfəun
electrophone,телефОн для тугоУхих,ɪˈlektrəfəun
